StoreNum,Open Date,State Provinc,Market,Region,Locality Code,Climate Code,Pharmacy_IND,Pickup_IND,SFS_IND,COMP_IND,College_STORE_IND,INCOME_CD,ETHNICITY_CD
1,1980/02/01,46,102,NULL,2,3,N,N,Y,Y,N,2,3
2,1980/02/01,64,100,407,1,2,N,N,Y,Y,Y,1,1
3,1980/02/01,1,96,NULL,2,2,N,N,Y,Y,N,2,2
4,1992/08/13,46,94,NULL,2,3,N,N,Y,Y,N,2,2
5,2003/10/29,21,96,NULL,2,2,N,N,Y,Y,N,2,2
6,1980/02/01,1,96,NULL,2,2,N,N,Y,Y,N,3,2
7,1993/08/11,6,101,NULL,2,2,N,N,Y,Y,Y,1,3
8,1980/02/01,41,108,410,2,1,N,N,Y,Y,Y,2,2
9,2000/11/09,64,108,408,2,2,N,N,Y,Y,Y,3,1
10,1980/02/01,46,94,NULL,2,3,N,N,Y,Y,N,3,3
11,1980/02/01,1,93,401,2,2,N,N,Y,Y,Y,1,2
12,1980/02/01,21,96,NULL,2,2,N,N,Y,Y,Y,2,2
13,1991/08/14,46,102,413,2,3,N,Y,Y,Y,Y,2,3
14,1993/08/11,6,101,NULL,1,1,Y,N,Y,N,Y,2,2
15,1980/02/01,46,102,411,2,3,N,N,Y,N,Y,2,3
16,1980/02/01,64,108,407,2,2,N,N,Y,N,N,2,1
17,1980/02/01,46,94,411,2,3,N,Y,Y,Y,Y,2,3
18,1980/02/01,6,101,NULL,2,1,N,N,Y,N,N,2,3
19,2002/05/21,1,96,NULL,2,2,Y,N,Y,-,Y,2,2
20,1991/08/14,46,100,411,1,3,Y,Y,Y,N,Y,1,3
21,1980/02/01,46,102,414,1,2,Y,N,Y,N,Y,1,2
22,1980/02/01,46,94,NULL,2,2,N,N,Y,N,N,2,2
23,1993/08/11,6,101,NULL,2,1,N,N,Y,Y,N,2,3
24,1980/02/01,64,95,408,1,2,N,N,Y,N,N,3,1
25,2014/03/29,46,107,412,NULL,NULL,N,N,N,Y,N,NULL,NULL
26,1993/08/11,6,101,NULL,3,3,N,N,Y,Y,N,3,2
27,2000/05/01,46,102,414,2,2,N,N,Y,Y,N,2,2
28,2003/05/02,6,101,NULL,1,1,N,N,Y,Y,Y,2,2
29,2000/05/01,46,94,NULL,2,3,N,N,Y,N,N,2,2
30,1980/01/01,46,102,414,2,3,N,N,Y,Y,N,2,2
31,1980/02/01,1,96,401,1,2,N,N,Y,N,Y,1,2
32,1980/03/15,6,101,NULL,2,1,N,N,Y,Y,N,2,2
33,2014/10/01,64,107,407,NULL,NULL,N,N,N,Y,N,NULL,NULL
34,1980/02/01,46,102,411,1,3,N,Y,Y,N,Y,1,3
35,1980/02/01,46,102,412,2,2,N,N,Y,Y,Y,1,2
36,2000/05/01,52,96,405,3,2,N,N,Y,N,Y,2,2
37,2000/10/06,46,102,416,2,2,N,N,Y,N,N,2,1
38,1993/08/11,1,96,402,3,2,Y,N,Y,N,Y,3,2
39,1995/08/06,46,94,NULL,2,3,N,N,Y,Y,Y,2,2
40,1980/02/01,6,101,NULL,3,2,N,N,Y,N,Y,3,2
