Week,StoreNum,Category,Sales,Units , profit,week no,Year
201649,57,2,679064.37,12885,248695.0438,49,2016
201649,57,1,1268409.6,23766,380203.0771,49,2016
201649,57,5,94744.94,4205,34604.2306,49,2016
201649,57,35,1446.67,87,188.0671,49,2016
201649,57,7,1475152.07,24952,581748.4376,49,2016
201649,57,4,1319620.85,28040,377372.1885,49,2016
201649,57,8,140694.84,3763,49703.6354,49,2016
201649,57,50,0.22,2,-13.1,49,2016
201649,57,36,78531.05,721,20079.0456,49,2016
201649,57,3,202877.82,5312,70064.5531,49,2016
201650,57,36,64053.33,566,16108.8844,50,2016
201650,57,8,166213.9,4469,40315.6098,50,2016
201650,57,1,1694048.6,27463,527470.6244,50,2016
201650,57,7,1499581.95,27969,589471.2752,50,2016
201650,57,3,209552.63,5145,77517.4804,50,2016
201650,57,2,744474.92,12690,250239.5025,50,2016
201650,57,50,22.71,564,2.98,50,2016
201650,57,35,1438.69,91,187.0297,50,2016
201650,57,5,125868.5,4905,40538.1345,50,2016
201650,57,4,1821838.87,31049,425403.158,50,2016
201651,57,8,156830.82,3802,51440.3899,51,2016
201651,57,50,38.25,951,-95.15,51,2016
201651,57,7,1510468.44,26794,570692.0434,51,2016
201651,57,1,1194060.38,17978,458002.2011,51,2016
201651,57,5,140330.13,6026,44093.1957,51,2016
201651,57,4,1763096.51,30466,369892.4019,51,2016
201651,57,2,723470.42,13329,228515.0112,51,2016
201651,57,35,995.47,41,129.4111,51,2016
201651,57,3,215066.39,5899,81882.4866,51,2016
201651,57,36,54291.42,506,13809.0101,51,2016
201652,57,8,117447.6,2795,45350.2027,52,2016
201652,57,35,918.46,40,119.3998,52,2016
201652,57,50,0.11,1,-7.34,52,2016
201652,57,36,53794.54,516,14148.9588,52,2016
201652,57,2,735961.49,14755,226615.8492,52,2016
201652,57,7,1564458.78,23960,544593.8133,52,2016
201652,57,3,197127.74,5025,73123.4477,52,2016
201652,57,4,1193040.04,20207,283831.4376,52,2016
201652,57,5,145451.69,6525,35714.6109,52,2016
201652,57,1,1428531.17,21051,567842.5566,52,2016
201701,57,2,597661.77,11549,195339.7742,1,2017
201701,57,3,190657.83,6918,71603.1925,1,2017
201701,57,1,1421689.89,26931,415688.8144,1,2017
201701,57,7,1049820.02,16111,380205.5076,1,2017
201701,57,5,133286.57,6397,31668.3128,1,2017
201701,57,50,0.04,1,-11.28,1,2017
201701,57,4,1302991.39,23392,287412.5861,1,2017
201701,57,8,128889.25,2890,52372.8596,1,2017
201701,57,36,66323.41,567,17519.8486,1,2017
201701,57,35,712.78,28,92.6614,1,2017
201702,57,35,555.2,15,72.176,2,2017
201702,57,5,176989.38,8943,39402.4214,2,2017
201702,57,1,1346829.41,19677,554528.3057,2,2017
201702,57,2,679756.71,14105,213458.8054,2,2017
201702,57,7,943338.94,14739,376763.3911,2,2017
201702,57,50,0,1,-4.2,2,2017
201702,57,4,2058275.18,36875,579511.2075,2,2017
201702,57,36,78103.74,753,20549.9147,2,2017
201702,57,3,300124.09,9485,107658.1483,2,2017
201702,57,8,137681.39,3325,60228.673,2,2017
201703,57,36,64416.1,649,16326.7175,3,2017
201703,57,8,136433.35,3041,61379.8209,3,2017
201703,57,1,1603309.09,23977,603891.9731,3,2017
201703,57,2,696666.07,15325,183536.3016,3,2017
201703,57,5,160291.32,8359,22758.0417,3,2017
201703,57,4,1164303.06,21193,383388.2952,3,2017
201703,57,7,1152468.16,19831,377593.5448,3,2017
201703,57,35,349.45,12,45.4285,3,2017
201703,57,3,276085.3,8454,101423.1995,3,2017
201704,57,7,1239835.06,22565,478280.6324,4,2017
201704,57,50,0.03,-1,0.04,4,2017
201704,57,1,1869986.68,33488,522851.0501,4,2017
201704,57,8,152987.37,3601,67787.22,4,2017
201704,57,35,876.55,32,113.9515,4,2017
201704,57,36,41900.86,487,10733.4977,4,2017
201704,57,2,1050814.04,29236,151017.308,4,2017
201704,57,3,323798.93,11202,125306.1477,4,2017
201704,57,4,1167834.29,25880,384193.4693,4,2017
201704,57,5,145603.2,7038,33613.4879,4,2017
201705,57,35,643.2,23,83.616,5,2017
201705,57,1,1622174.85,22904,676077.2907,5,2017
201705,57,5,236901.54,11359,75592.4403,5,2017
201705,57,4,1327425.7,24569,445814.891,5,2017
201705,57,3,283317.65,9453,111380.1716,5,2017
201705,57,8,233058.86,5227,120503.216,5,2017
201705,57,36,50460.24,485,12861.8567,5,2017
201705,57,50,0,1,-7.45,5,2017
201705,57,7,1219461.76,18246,491721.3447,5,2017
201705,57,2,754628.53,13974,268212.0529,5,2017
201706,57,35,741.2,20,96.356,6,2017
